Year,Month,Day_of_week,Weekend,Trips,Med_Income_Orig,Pop_den_Orig,Per_Male_Orig,Working_age_Orig,Elderly_Orig,Avg_Hhold_Orig,Married_Orig,F_Married_Orig,HighSchool_higher_Orig,Bachelor_Higher_Orig,Commute_PC_Orig,Com_LU_Orig,Gov_LU_Orig,Ind_LU_Orig,Parks_LU_Orig,Res_LU_Orig,Med_Income_Des,Pop_den_Des,Per_Male_Des,Working_age_Des,Elderly_Des,Avg_Hhold_Des,Married_Des,F_Married_Des,HighSchool_higher_Des,Bachelor_Higher_Des,Com_LU_Des,Com_LU_Des,Gov_LU_Des,Ind_LU_Des,Parks_LU_Des,Res_LU_Des,Avgerage_Temp,Precipitation,Snow,Cases,Deaths,Hospitalizations,Positive_Rate,Partially_Vaccinated,Fully_Vaccinated,Stringency_Index
2,3,0,0,3,59109.56,1565.549135,0.445,0.638,0.162,2.48,0.363,0.209,0.864,0.246,0.453,0.092947823,0.01754756,0.031783758,0.010356717,0.087749356,56169.52,4489.963625,0.43,0.631,0.222,2.56,0.363,0.259,0.859,0.21,0.292,0.021231857,0.031484163,0.012897469,0,0.398407395,12,2.21,0,5,0,3,0.0571,0,0,13.89
3,3,2,0,1,74847.64,29141.31953,0.456,0.754,0.177,1.47,0.254,0.191,0.977,0.79,0.735,0.024852078,0,0,0.002058831,0.178025987,186233.12,10391.27393,0.511,0.827,0.033,1.87,0.453,0.512,0.995,0.9,0.55,0.06628766,0.001274324,0.007489319,0,0.251429757,13,0,0,675,6,29,0.0466,0.26,0.136,54.63
2,7,5,0,1,136877.4,7018.414304,0.503,0.728,0.102,2.5,0.477,0.463,0.893,0.641,0.525,0.032657831,0.006257896,0.020694833,0,0.087494014,156091.2,25363.28322,0.441,0.684,0.25,1.7,0.481,0.38,0.992,0.807,0.624,0.00149357,0.008686766,0,0.003810181,0.115065831,25,0.1,0,153,2,20,0.0472,0,0,58.33
2,10,6,1,2,117352.36,10712.21337,0.486,0.83,0.04,2.12,0.44,0.383,0.98,0.743,0.448,0.035230154,0.011803755,0.004546247,0,0.21169374,113736.52,12348.97162,0.532,0.815,0.065,1.97,0.339,0.337,0.979,0.79,0.684,0.058087344,0.031325174,0,0.001958969,0.236996932,9,0.1,0,152,5,28,0.0409,0,0,55.09
2,11,3,0,1,74832.76,11640.96068,0.454,0.735,0.08,3.09,0.47,0.386,0.77,0.356,0.518,0.031190442,0.012076258,0.005277709,0,0.224377686,76650.6,7201.781595,0.511,0.718,0.108,2.57,0.459,0.479,0.858,0.431,0.39,0.055760346,0.004813165,0.006949059,0,0.25087568,6,0,0,264,22,106,0.1105,0,0,61.11
2,12,3,0,1,25880.04,7774.86484,0.422,0.684,0.133,2.04,0.173,0.122,0.88,0.173,0.473,0.010034636,0.003104326,0,0,0.10894483,133730.28,15302.79095,0.46,0.823,0.143,1.51,0.472,0.396,0.993,0.882,0.694,0.031007552,0.009480363,0,0.020535587,0.034216374,0,0,0,1350,23,99,0.0897,0.001,0,61.11
3,2,0,0,1,184927.4,13792.66154,0.49,0.854,0.062,1.64,0.449,0.403,0.997,0.905,0.649,0.108184837,0.010487887,0.003748907,0.00885466,0.077963469,137316.36,12741.97824,0.601,0.934,0.017,1.98,0.25,0.251,0.994,0.898,0.673,0.027545233,0.026901975,0,0,0.117267983,-13,0.1,96.5,389,13,58,0.031,0.088,0.027,54.63
3,1,0,0,1,133730.28,15302.79095,0.46,0.823,0.143,1.51,0.472,0.396,0.993,0.882,0.694,0.031007552,0.009480363,0,0.020535587,0.034216374,68656.32,3410.965636,0.477,0.677,0.145,2.75,0.491,0.383,0.889,0.451,0.413,0.015546348,0.301327291,0.00233205,0.000836479,0.139764684,-2,0,0,713,14,75,0.0569,0.032,0.01,61.11
3,5,5,0,1,41444.52,9904.355252,0.461,0.649,0.128,3.35,0.284,0.199,0.641,0.153,0.437,0.026091507,0.010524871,0.0011047,0,0.210661252,26800.12,7438.895184,0.518,0.611,0.103,2.89,0.167,0.11,0.829,0.066,0.474,0.015526313,0.013881194,0,0,0.086818688,25,0,0,131,5,35,0.0367,0.514,0.43,50
2,9,1,0,1,67024.48,9413.822667,0.506,0.711,0.135,2.79,0.443,0.451,0.745,0.303,0.337,0.082149053,0.031532564,0,0.003033702,0.456815248,106950,2147.288537,0.483,0.789,0.124,1.62,0.268,0.257,0.95,0.686,0.559,0.165670158,0.050297052,0.121523621,0,0.069537939,12,0,0,381,6,31,0.0353,0,0,55.09
2,10,6,1,2,141794,2549.340139,0.466,0.893,0.036,1.91,0.242,0.195,0.944,0.714,0.634,0.066070659,0.156557188,0.046181541,0.001852403,0.033804549,47630.88,11603.29483,0.484,0.739,0.156,1.65,0.288,0.295,0.969,0.714,0.677,0.135028467,0.008158249,0,0,0.198033006,7,0,0,526,10,54,0.102,0,0,56.02
2,7,1,0,1,37419.48,5793.737277,0.414,0.64,0.13,2.7,0.243,0.202,0.898,0.121,0.268,0.01824122,0.014835591,0.021756736,0,0.145825828,35772.76,9779.182338,0.441,0.612,0.15,2.14,0.163,0.084,0.912,0.256,0.449,0.023418164,0.002436759,0,0.001039537,0.191697142,25,0.15,0,291,1,36,0.0425,0,0,58.33
