Month,Day_of_week,Weekend,Cases,Deaths,Hospitalizations,Positive_Rate,Partially_Vaccinated,Fully_Vaccinated,Stringency_Index,Per_Reduction
6,2,0,101,7,17,0.0114,0.533,0.451,50,-0.797877941
1,3,0,815,9,75,0.0606,0.039,0.013,57.41,-0.821147831
10,5,0,547,5,49,0.0843,0,0,54.63,-0.493017721
10,1,0,1630,4,95,0.0995,0,0,56.02,-0.822481138
4,5,0,535,39,163,0.2574,0,0,82.41,-0.967711913
12,5,0,958,19,81,0.1262,0.009,0,61.11,-0.894028305
8,6,1,100,5,22,0.0388,0,0,55.09,-0.838903759
11,3,0,2932,17,118,0.1536,0,0,56.02,-0.840842986
2,5,0,262,12,29,0.0598,0.084,0.025,54.63,-0.62832218
7,5,0,118,0,5,0.0258,0.575,0.515,34.26,-0.469700588
12,1,0,2189,35,141,0.1257,0,0,61.11,-0.88568726
4,1,0,875,36,170,0.2784,0,0,82.41,-0.977039816
7,4,0,326,3,26,0.0403,0,0,58.33,-0.715270622
7,3,0,256,6,25,0.0327,0,0,55.56,-0.799232246
1,1,0,1084,19,63,0.064,0.033,0.011,57.41,-0.863414726
4,0,0,863,5,64,0.0534,0.381,0.232,51.85,-0.861215294
11,3,0,264,22,106,0.1105,0,0,61.11,-0.932841199
8,5,0,191,2,17,0.0512,0,0,55.09,-0.601141605
3,1,0,444,3,32,0.029,0.209,0.115,54.63,-0.840060849
7,4,0,345,6,30,0.0489,0,0,58.33,-0.727359626
5,5,0,177,5,42,0.0365,0.493,0.408,50,-0.526381902
9,4,0,380,3,39,0.052,0,0,55.09,-0.645896641
7,3,0,223,1,9,0.0322,0.579,0.518,32.41,-0.718388672
7,2,0,365,4,36,0.0485,0,0,58.33,-0.835236796
4,2,0,769,7,53,0.0523,0.392,0.245,51.85,-0.798103659
7,0,0,194,0,13,0.0245,0.576,0.516,34.26,-0.837997897
4,1,0,556,25,198,0.3018,0,0,82.41,-0.981202465
7,2,0,446,3,19,0.0554,0,0,58.33,-0.840842986
6,5,0,30,2,5,0.0082,0.554,0.488,37.96,-0.487086078
5,3,0,314,7,45,0.0312,0.486,0.399,50,-0.775185469
1,2,0,658,13,49,0.0548,0.052,0.016,57.41,-0.819331593
3,4,0,347,8,16,0.0312,0.19,0.105,54.63,-0.653340066
1,6,1,497,17,69,0.0936,0.023,0.005,57.41,-0.880624633
4,2,0,572,5,50,0.0402,0.451,0.329,50,-0.803825333
4,0,0,694,33,155,0.2989,0,0,82.41,-0.980320592
6,4,0,77,6,15,0.0087,0.536,0.456,50,-0.639004387
11,0,0,3232,14,157,0.1637,0,0,56.02,-0.878212339
4,3,0,576,4,68,0.0438,0.429,0.296,51.85,-0.790072319
8,2,0,485,5,21,0.0539,0,0,55.09,-0.840648764
4,3,0,624,8,60,0.0491,0.397,0.253,51.85,-0.784324399
1,6,1,647,20,68,0.1134,0.015,0,57.41,-0.926761312
4,0,0,694,33,155,0.2989,0,0,82.41,-0.980320592
3,0,0,0,0,2,0,0,0,13.89,-0.322049913
2,1,0,647,6,51,0.0454,0.068,0.021,57.41,-0.819294848
7,0,0,283,5,31,0.04,0,0,58.33,-0.890070377
4,3,0,624,8,60,0.0491,0.397,0.253,51.85,-0.784324399
5,0,0,1120,48,126,0.2586,0,0,82.41,-0.967900886
7,2,0,446,3,19,0.0554,0,0,58.33,-0.840842986
5,6,1,307,38,100,0.1965,0,0,82.41,-0.976519801
12,0,0,1465,26,101,0.0794,0.006,0,61.11,-0.872506413
10,5,0,547,5,49,0.0843,0,0,54.63,-0.493017721
5,5,0,327,30,90,0.1175,0,0,82.41,-0.949838245
8,0,0,556,3,27,0.0579,0,0,55.09,-0.866758493
1,1,0,1086,12,73,0.0702,0.025,0.008,61.11,-0.867535381
5,5,0,89,6,24,0.0239,0.528,0.445,50,-0.491904882
8,2,0,433,2,32,0.0482,0,0,58.33,-0.844260243
12,5,0,1207,11,92,0.1526,0,0,61.11,-0.754199
4,6,1,359,5,52,0.0669,0.376,0.225,51.85,-0.83857682
5,1,0,128,3,23,0.0134,0.52,0.436,50,-0.811158523
6,6,1,27,1,6,0.009,0.554,0.489,37.96,-0.811283743
11,3,0,2637,6,120,0.1525,0,0,56.02,-0.834486154
7,6,1,18,1,4,0.008,0.565,0.504,34.26,-0.685348356
2,0,0,257,7,27,0.0267,0.109,0.038,54.63,-0.950231938
5,6,1,153,10,34,0.0387,0.496,0.41,50,-0.81133894
3,0,0,312,2,29,0.0227,0.145,0.071,54.63,-0.852113109
2,4,0,357,6,18,0.0328,0.136,0.066,54.63,-0.673287185
6,6,1,92,12,27,0.0554,0,0,73.15,-0.915861914
4,0,0,583,22,203,0.3072,0,0,82.41,-0.983737849
6,6,1,48,11,18,0.0345,0,0,73.15,-0.924523687
7,3,0,319,3,33,0.0458,0,0,58.33,-0.808260942
8,3,0,349,4,22,0.0565,0,0,58.33,-0.811615207
6,2,0,245,9,29,0.0424,0,0,73.15,-0.875131034
9,1,0,381,6,31,0.0353,0,0,55.09,-0.833100354
4,4,0,543,7,50,0.0452,0.459,0.342,50,-0.694761834
2,0,0,607,9,53,0.0443,0.065,0.019,57.41,-0.850270625
9,2,0,464,2,31,0.0405,0,0,55.09,-0.804911926
6,1,0,244,25,52,0.0789,0,0,75,-0.956489034
8,2,0,433,2,32,0.0482,0,0,58.33,-0.844260243
12,0,0,1665,18,97,0.1013,0.01,0,61.11,-0.89053231
1,5,0,581,9,60,0.0927,0.044,0.013,57.41,-0.643886182
4,4,0,673,2,60,0.0562,0.322,0.173,51.85,-0.678494433
4,4,0,543,7,50,0.0452,0.459,0.342,50,-0.694761834
12,4,0,1300,19,90,0.0796,0.003,0,61.11,-0.756366937
8,6,1,120,3,20,0.0468,0,0,58.33,-0.858719688
3,3,0,183,2,38,0.155,0,0,61.11,-0.891970602
10,0,0,681,4,44,0.0637,0,0,51.39,-0.856826928
1,3,0,1053,15,67,0.0709,0.028,0.009,61.11,-0.829053189
7,1,0,94,2,9,0.0123,0.572,0.512,34.26,-0.782623645
2,2,0,337,4,29,0.0276,0.129,0.058,54.63,-0.827462669
10,6,1,152,5,28,0.0409,0,0,55.09,-0.804265159
6,6,1,48,11,18,0.0345,0,0,73.15,-0.924523687
7,6,1,123,1,8,0.0468,0.581,0.52,32.41,-0.751509017
2,6,1,157,8,24,0.0351,0.121,0.05,54.63,-0.84371444
7,2,0,241,2,11,0.033,0.584,0.522,32.41,-0.729354338
6,6,1,110,20,32,0.0736,0,0,73.15,-0.955468296
5,0,0,349,6,49,0.0286,0.499,0.414,50,-0.851740412
10,0,0,1166,4,59,0.0819,0,0,54.63,-0.840800992
4,0,0,935,6,54,0.053,0.336,0.186,51.85,-0.851141999
10,5,0,885,5,66,0.1173,0,0,54.63,-0.519395161
7,4,0,53,0,6,0.0089,0.565,0.503,34.26,-0.630910056
10,2,0,1180,6,71,0.0749,0,0,54.63,-0.800156112
6,4,0,339,17,42,0.0918,0,0,73.15,-0.882401234
